name,gate_name,n,initial_state_number,construction_time,simulation_time,precision,abs_error,euclid_error
rec,Rx,5,7,11,16,7,5.9604645e-08,5.9604645e-08
rec,Ry,5,7,11,16,7,5.9604645e-08,5.9604645e-08
rec,Rz,5,7,10,17,7,8.4293696e-08,8.4293696e-08
rec,X^(1/2),5,8,11,17,7,8.195638e-08,8.37228e-08
rec,X^(1/4),5,8,10,16,7,8.1956394e-08,8.242043e-08
rec,X^(1/8),5,8,11,15,7,8.1956394e-08,8.207344e-08
rec,H,5,8,10,16,7,1.1920929e-07,1.3514129e-07
rec,X,5,8,11,16,7,5.960464e-08,6.746787e-08
rec,Y,5,8,10,16,7,5.960464e-08,6.746787e-08
rec,Z,5,8,11,17,7,9.424322e-08,9.424322e-08
rec,Rx,5,8,11,17,7,9.424322e-08,1.118506e-07
rec,Ry,5,8,13,19,7,9.424322e-08,1.118506e-07
rec,Rz,5,8,11,18,7,7.33797e-08,9.453726e-08
rec,X^(1/2),5,9,11,17,7,8.195638e-08,8.37228e-08
rec,X^(1/4),5,9,10,17,7,8.1956394e-08,8.242043e-08
rec,X^(1/8),5,9,11,16,7,8.1956394e-08,8.207344e-08
rec,H,5,9,11,17,7,4.7706994e-08,5.268356e-08
rec,X,5,9,12,20,7,5.960464e-08,6.746787e-08
rec,Y,5,9,13,20,7,5.960464e-08,6.746787e-08
rec,Z,5,9,10,18,7,5.9604645e-08,7.6345735e-08
rec,Rx,5,9,10,16,7,9.424322e-08,1.118506e-07
rec,Ry,5,9,11,15,7,9.424322e-08,1.118506e-07
rec,Rz,5,9,12,16,7,8.195638e-08,1.0133884e-07
rec,X^(1/2),5,10,12,15,7,4.7706994e-08,6.639073e-08
rec,X^(1/4),5,10,10,16,7,1.1920929e-07,1.2743814e-07
rec,X^(1/8),5,10,11,15,7,1.1922418e-07,1.2745808e-07
rec,H,5,10,11,16,7,1.1920929e-07,1.3709119e-07
rec,X,5,10,10,16,7,4.4703484e-08,4.712161e-08
rec,Y,5,10,10,16,7,4.4703484e-08,4.712161e-08
rec,Z,5,10,12,15,7,9.424322e-08,9.424322e-08
rec,Rx,5,10,10,15,7,5.9604645e-08,8.5686544e-08
rec,Ry,5,10,10,15,7,5.9604645e-08,8.5686544e-08
rec,Rz,5,10,11,17,7,6.664002e-08,8.940697e-08
rec,X^(1/2),5,11,10,17,7,4.7706994e-08,6.639073e-08
rec,X^(1/4),5,11,11,16,7,1.1920929e-07,1.2743814e-07
rec,X^(1/8),5,11,10,15,7,1.1922418e-07,1.2745808e-07
rec,H,5,11,11,17,7,6.00685e-08,8.721458e-08
rec,X,5,11,11,16,7,4.4703484e-08,4.712161e-08
rec,Y,5,11,11,19,7,4.4703484e-08,4.712161e-08
rec,Z,5,11,11,16,7,6.664002e-08,8.940697e-08
rec,Rx,5,11,12,16,7,5.9604645e-08,8.5686544e-08
rec,Ry,5,11,12,16,7,5.9604645e-08,8.5686544e-08
rec,Rz,5,11,11,15,6,1.896974e-07,1.9489357e-07
rec,X^(1/2),5,12,11,18,7,1.192098e-07,1.2279742e-07
rec,X^(1/4),5,12,13,16,7,2.8928529e-08,3.1613567e-08
rec,X^(1/8),5,12,10,16,7,1.1922313e-07,1.2320352e-07
rec,H,5,12,10,16,7,5.9641465e-08,8.685332e-08
rec,X,5,12,12,17,7,3.7252903e-08,4.4783448e-08
rec,Y,5,12,12,16,7,3.7252903e-08,4.4783448e-08
rec,Z,5,12,11,15,7,4.4703484e-08,4.4703484e-08
rec,Rx,5,12,12,15,7,5.9604645e-08,6.6958144e-08
rec,Ry,5,12,11,16,7,5.9604645e-08,6.6958144e-08
rec,Rz,5,12,11,15,7,5.9604645e-08,6.664002e-08
rec,X^(1/2),5,13,11,16,7,1.192098e-07,1.2279742e-07
rec,X^(1/4),5,13,11,16,7,2.8928529e-08,3.1613567e-08
rec,X^(1/8),5,13,10,17,7,1.1922313e-07,1.2320352e-07
rec,H,5,13,10,17,6,2.384378e-07,2.441674e-07
rec,X,5,13,11,16,7,3.7252903e-08,4.4783448e-08
rec,Y,5,13,11,17,7,3.7252903e-08,4.4783448e-08
rec,Z,5,13,12,16,7,6.143905e-08,8.560065e-08
rec,Rx,5,13,10,17,7,5.9604645e-08,6.6958144e-08
rec,Ry,5,13,11,16,7,5.9604645e-08,6.6958144e-08
rec,Rz,5,13,11,17,7,6.664002e-08,6.7055225e-08
rec,X^(1/2),5,14,11,15,7,1.1923436e-07,1.2660128e-07
rec,X^(1/4),5,14,11,15,6,2.3841875e-07,2.391815e-07
rec,X^(1/8),5,14,11,16,7,1.1922594e-07,1.2889053e-07
rec,H,5,14,11,16,7,8.78608e-08,1.04925796e-07
rec,X,5,14,11,16,7,3.7252903e-08,4.1401975e-08
rec,Y,5,14,11,16,7,3.7252903e-08,4.1401975e-08
rec,Z,5,14,11,16,7,4.4703484e-08,4.4703484e-08
rec,Rx,5,14,10,16,7,5.9604645e-08,6.8596194e-08
rec,Ry,5,14,10,16,7,5.9604645e-08,6.8596194e-08
rec,Rz,5,14,11,16,7,5.9604645e-08,7.3000486e-08
rec,X^(1/2),5,15,12,16,7,1.1923436e-07,1.2660128e-07
rec,X^(1/4),5,15,11,16,6,2.3841875e-07,2.391815e-07
rec,X^(1/8),5,15,11,16,7,1.1922594e-07,1.2889053e-07
rec,H,5,15,11,16,6,2.814016e-07,2.9267284e-07
rec,X,5,15,10,16,7,3.7252903e-08,4.1401975e-08
rec,Y,5,15,11,18,7,3.7252903e-08,4.1401975e-08
rec,Z,5,15,11,16,7,1.1920929e-07,1.2287812e-07
rec,Rx,5,15,12,16,7,5.9604645e-08,6.8596194e-08
rec,Ry,5,15,11,16,7,5.9604645e-08,6.8596194e-08
rec,Rz,5,15,12,17,7,1.3328004e-07,1.3838839e-07
rec,X^(1/2),5,16,10,15,7,7.337971e-08,7.5347465e-08
rec,X^(1/4),5,16,9,17,7,7.337971e-08,7.389762e-08
rec,X^(1/8),5,16,10,17,7,8.0245215e-08,8.036476e-08
